Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
27.05.18 14:40;27.05.18 14:30;Jeddah;SAUDIA;SV237;ARRIVED;;-10
27.05.18 14:40;27.05.18 15:55;Nice;EASYJET;EZS1380;ARRIVED;;75
27.05.18 15:00;27.05.18 16:25;Porto;EASYJET;EZY1456;ARRIVED;;85
27.05.18 15:00;27.05.18 16:27;Palma Mallorca;SWISS;LX2169;ARRIVED;;87
27.05.18 15:05;;Nantes;EASYJET;EZS1364;CANCELLED;;
27.05.18 15:15;27.05.18 16:53;Copenhagen;EASYJET;EZS1466;ARRIVED;;98
27.05.18 15:15;27.05.18 21:11;Barcelona;EASYJET;EZS1414;ARRIVED;;356
27.05.18 15:20;;Toulouse;EASYJET;EZS1474;CANCELLED;;
27.05.18 15:25;27.05.18 15:24;Rome FCO;VUELING;VY6944;ARRIVED;;-1
27.05.18 15:35;27.05.18 15:39;Athens;AEGEAN AIRLINES;A3856;ARRIVED;;4
27.05.18 15:35;27.05.18 15:47;London LGW;EASYJET;EZY8464;ARRIVED;;12
27.05.18 15:55;27.05.18 16:30;Dublin;AER LINGUS;EI684;ARRIVED;;35
27.05.18 15:55;27.05.18 16:36;Brindisi;EASYJET;EZS1546;ARRIVED;;41
27.05.18 16:05;27.05.18 16:03;Munich;LUFTHANSA;LH2386;ARRIVED;;-2
27.05.18 16:10;27.05.18 16:39;Moscow DME;SWISS;LX1337;ARRIVED;;29
27.05.18 16:10;27.05.18 17:04;Berlin SXF;EASYJET;EZS1592;ARRIVED;;54
27.05.18 16:15;27.05.18 16:11;Paris CDG;AIR FRANCE;AF1142;ARRIVED;;-4
27.05.18 16:20;27.05.18 16:16;Casablanca;ROYAL AIR MAROC;AT930;ARRIVED;;-4
27.05.18 16:20;27.05.18 18:03;London LGW;EASYJET;EZY8474;ARRIVED;;103
27.05.18 16:30;;Brussels;BRUSSELS AIRLINES;SN2719;CANCELLED;;
27.05.18 16:30;27.05.18 16:46;Luxembourg;LUXAIR;LG8365;ARRIVED;;16
27.05.18 16:30;27.05.18 17:30;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1931;ARRIVED;;60
27.05.18 16:40;27.05.18 16:31;Tel Aviv;EASYJET;EZS1526;ARRIVED;;-9
27.05.18 16:40;27.05.18 16:40;Edinburgh;EASYJET;EZY6907;ARRIVED;;0
27.05.18 16:45;27.05.18 17:10;London LHR;BRITISH AIRWAYS;BA732;ARRIVED;;25
27.05.18 16:45;27.05.18 17:36;Amsterdam;EASYJET;EZY1360;ARRIVED;;51
27.05.18 16:50;27.05.18 17:09;Vienna;AUSTRIAN;OS581;ARRIVED;;19
27.05.18 16:55;27.05.18 16:38;Istanbul IST;TURKISH AIRLINES;TK1919;ARRIVED;;-17
27.05.18 16:55;27.05.18 16:53;London LCY;SWISS;LX435;ARRIVED;;-2
27.05.18 17:00;27.05.18 17:36;London LHR;SWISS;LX355;ARRIVED;;36
27.05.18 17:05;27.05.18 18:33;Palma Mallorca;EASYJET;EZY1516;ARRIVED;;88
27.05.18 17:10;27.05.18 17:08;Rome FCO;ALITALIA;AZ578;ARRIVED;;-2
27.05.18 17:10;27.05.18 17:16;Zurich;SWISS;LX2808;ARRIVED;;6
27.05.18 17:10;27.05.18 17:28;Frankfurt;LUFTHANSA;LH1222;ARRIVED;;18
27.05.18 17:15;27.05.18 17:40;Paris CDG;AIR FRANCE;AF1342;ARRIVED;;25
27.05.18 17:20;27.05.18 17:25;Tunis;TUNISAIR;TU700;ARRIVED;;5
27.05.18 17:20;27.05.18 19:26;Hamburg;EASYJET;EZS1458;ARRIVED;;126
27.05.18 17:30;27.05.18 17:54;Lisbon;TAP PORTUGAL;TP948;ARRIVED;;24
