Expected Arrival Date;Effective Arrival Date;Starting Airport;Airline;Flight number;Flight status;ExpectedDelay;Arrival Date Delta [minutes]
07.06.18 11:10;07.06.18 10:53;Alicante;EASYJET;EZS1426;ARRIVED;;-17
07.06.18 11:10;07.06.18 10:55;Porto;EASYJET;EZS1454;ARRIVED;;-15
07.06.18 11:10;07.06.18 11:11;Paris CDG;AIR FRANCE;AF1842;ARRIVED;;1
07.06.18 11:10;07.06.18 11:21;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1927;ARRIVED;;11
07.06.18 11:15;07.06.18 11:05;London LCY;SWISS;LX443;ARRIVED;;-10
07.06.18 11:30;07.06.18 11:23;Malaga;EASYJET;EZS1432;ARRIVED;;-7
07.06.18 11:30;07.06.18 12:00;London LHR;SWISS;LX353;ARRIVED;;30
07.06.18 11:35;07.06.18 11:28;Pristina;EASYJET;EZS1484;ARRIVED;;-7
07.06.18 11:35;07.06.18 11:37;Paris ORY;EASYJET;EZY1396;ARRIVED;;2
07.06.18 11:40;07.06.18 11:25;Madrid;SWISS;LX2043;ARRIVED;;-15
07.06.18 11:40;07.06.18 11:36;Moscow SVO;AEROFLOT;SU2380;ARRIVED;;-4
07.06.18 11:40;07.06.18 11:44;Prague;SWISS;LX1473;ARRIVED;;4
07.06.18 11:50;07.06.18 11:48;Madrid;IBERIA;IB3480;ARRIVED;;-2
07.06.18 11:50;07.06.18 11:49;Stockholm;SAS SCANDINAVIAN AIRLINES;SK2615;ARRIVED;;-1
07.06.18 11:50;07.06.18 11:54;Lisbon;TAP PORTUGAL;TP952;ARRIVED;;4
07.06.18 12:10;07.06.18 11:59;Las Palmas;VUELING;VY6574;ARRIVED;;-11
07.06.18 12:15;07.06.18 12:15;Naples;EASYJET;EZY1554;ARRIVED;;0
07.06.18 12:15;07.06.18 12:19;Paris CDG;AIR FRANCE;AF1742;ARRIVED;;4
07.06.18 12:30;07.06.18 12:40;Munich;LUFTHANSA;LH2384;ARRIVED;;10
07.06.18 12:45;07.06.18 12:52;Kiev;UKRAINE INTERNATIONAL;PS485;ARRIVED;;7
07.06.18 12:55;07.06.18 13:16;Porto;TAP PORTUGAL;TP938;ARRIVED;;21
07.06.18 13:00;07.06.18 13:06;Marrakech;EASYJET;EZS1312;ARRIVED;;6
07.06.18 13:00;07.06.18 13:22;Santorini;EASYJET;EZS1480;ARRIVED;;22
07.06.18 13:10;07.06.18 14:27;Zurich;SWISS;LX2824;ARRIVED;;77
07.06.18 13:15;07.06.18 13:02;Dubai;EMIRATES;EK089;ARRIVED;;-13
07.06.18 13:20;07.06.18 13:57;Frankfurt;LUFTHANSA;LH1216;ARRIVED;;37
07.06.18 13:30;07.06.18 13:12;Doha;QATAR AIRWAYS;QR099;ARRIVED;;-18
07.06.18 13:35;07.06.18 13:39;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1929;ARRIVED;;4
07.06.18 13:40;07.06.18 13:46;Manchester;EASYJET;EZY1949;ARRIVED;;6
07.06.18 13:50;07.06.18 13:56;Paris CDG;AIR FRANCE;AF1442;ARRIVED;;6
07.06.18 14:00;07.06.18 14:17;Zurich;SWISS;LX2806;ARRIVED;;17
07.06.18 14:00;07.06.18 14:32;Edinburgh;EASYJET;EZY6905;ARRIVED;;32
07.06.18 14:05;07.06.18 13:55;Istanbul SAW;PEGASUS;PC953;ARRIVED;;-10
07.06.18 14:10;07.06.18 14:10;Madrid;IBERIA;IB3490;ARRIVED;;0
07.06.18 14:10;07.06.18 14:25;Nantes;EASYJET;EZS1364;ARRIVED;;15
07.06.18 14:20;07.06.18 14:12;London LHR;BRITISH AIRWAYS;BA730;ARRIVED;;-8
07.06.18 14:20;07.06.18 14:19;Oslo;NORWEGIAN;DY1602;ARRIVED;;-1
07.06.18 14:20;07.06.18 14:42;Barcelona;EASYJET;EZS1412;ARRIVED;;22
07.06.18 14:40;07.06.18 14:01;Riyadh;SAUDIA;SV239;ARRIVED;;-39
07.06.18 14:40;07.06.18 15:00;Olbia;EASYJET;EZS1502;ARRIVED;;20
07.06.18 14:45;07.06.18 14:57;Algiers;AIR ALGERIE;AH2046;ARRIVED;;12
07.06.18 14:55;07.06.18 14:34;Nice;EASYJET;EZS1380;ARRIVED;;-21
07.06.18 15:15;07.06.18 15:08;Brindisi;EASYJET;EZS1546;ARRIVED;;-7
07.06.18 15:15;07.06.18 16:42;Faro;EASYJET;EZS1462;ARRIVED;;87
07.06.18 15:30;07.06.18 17:27;Palerme;EASYJET;EZS1576;ARRIVED;;117
07.06.18 15:35;07.06.18 15:27;Porto;EASYJET;EZY1456;ARRIVED;;-8
07.06.18 15:35;07.06.18 15:41;Florence;SWISS;LX1691;ARRIVED;;6
07.06.18 15:55;07.06.18 16:25;Dublin;AER LINGUS;EI684;ARRIVED;;30
07.06.18 16:05;07.06.18 16:12;Munich;LUFTHANSA;LH2386;ARRIVED;;7
07.06.18 16:10;07.06.18 16:09;Liverpool;EASYJET;EZY7283;ARRIVED;;-1
07.06.18 16:15;07.06.18 16:17;London LGW;EASYJET;EZY8474;ARRIVED;;2
07.06.18 16:15;07.06.18 16:19;Paris CDG;AIR FRANCE;AF1142;ARRIVED;;4
07.06.18 16:20;07.06.18 15:58;Casablanca;ROYAL AIR MAROC;AT930;ARRIVED;;-22
07.06.18 16:25;07.06.18 17:47;Barcelona;EASYJET;EZY1406;ARRIVED;;82
07.06.18 16:30;07.06.18 16:40;Brussels;BRUSSELS AIRLINES;SN2719;ARRIVED;;10
07.06.18 16:30;07.06.18 17:19;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1931;ARRIVED;;49
07.06.18 16:40;07.06.18 16:30;Tel Aviv;EASYJET;EZS1526;ARRIVED;;-10
07.06.18 16:40;07.06.18 17:17;Amsterdam;EASYJET;EZY1360;ARRIVED;;37
07.06.18 16:45;07.06.18 16:43;London LHR;BRITISH AIRWAYS;BA732;ARRIVED;;-2
07.06.18 16:50;07.06.18 16:59;Luxembourg;LUXAIR;LG8363;ARRIVED;;9
07.06.18 16:50;07.06.18 17:12;Vienna;AUSTRIAN;OS581;ARRIVED;;22
07.06.18 16:55;07.06.18 16:50;Istanbul IST;TURKISH AIRLINES;TK1919;ARRIVED;;-5
07.06.18 17:00;07.06.18 17:25;London LHR;SWISS;LX355;ARRIVED;;25
07.06.18 17:05;07.06.18 17:04;Sevilla;EASYJET;EZS1530;ARRIVED;;-1
07.06.18 17:05;07.06.18 17:09;Toulouse;EASYJET;EZY1474;ARRIVED;;4
07.06.18 17:05;07.06.18 17:10;Palma Mallorca;EASYJET;EZY1516;ARRIVED;;5
07.06.18 17:10;07.06.18 17:18;Rome FCO;ALITALIA;AZ578;ARRIVED;;8
07.06.18 17:10;07.06.18 17:20;Zurich;SWISS;LX2808;ARRIVED;;10
07.06.18 17:15;07.06.18 17:29;Frankfurt;LUFTHANSA;LH1222;ARRIVED;;14
07.06.18 17:15;07.06.18 17:50;Paris CDG;AIR FRANCE;AF1342;ARRIVED;;35
07.06.18 17:25;07.06.18 17:56;Riga;AIR BALTIC;BT647;ARRIVED;;31
07.06.18 17:30;07.06.18 17:54;Porto;SWISS;LX2079;ARRIVED;;24
07.06.18 17:30;07.06.18 18:04;Lisbon;TAP PORTUGAL;TP948;ARRIVED;;34
07.06.18 17:45;07.06.18 17:45;Munich;EASYJET;EZS1314;ARRIVED;;0
07.06.18 17:45;07.06.18 18:33;Barcelona;VUELING;VY6201;ARRIVED;;48
07.06.18 17:45;07.06.18 19:11;Vienna;EASYJET;EZS1486;ARRIVED;;86
07.06.18 17:50;07.06.18 18:04;Madrid;IBERIA;IB3486;ARRIVED;;14
07.06.18 17:50;07.06.18 18:53;Lisbon;SWISS;LX2093;ARRIVED;;63
07.06.18 18:00;07.06.18 17:58;Nice;EASYJET;EZS1384;ARRIVED;;-2
07.06.18 18:00;07.06.18 18:09;London LHR;BRITISH AIRWAYS;BA734;ARRIVED;;9
07.06.18 18:00;07.06.18 18:43;Hamburg;EASYJET;EZS1458;ARRIVED;;43
07.06.18 18:00;07.06.18 20:21;Frankfurt;LUFTHANSA;LH1224;ARRIVED;;141
07.06.18 18:10;07.06.18 19:06;Brussels;BRUSSELS AIRLINES;SN2721;ARRIVED;;56
07.06.18 18:15;07.06.18 18:18;Moscow DME;SWISS;LX1337;ARRIVED;;3
07.06.18 18:15;07.06.18 18:32;Malaga;EASYJET;EZS1434;ARRIVED;;17
07.06.18 18:15;07.06.18 19:52;Budapest;EASYJET;EZS1334;ARRIVED;;97
07.06.18 18:20;07.06.18 18:26;Tunis;TUNISAIR;TU700;ARRIVED;;6
07.06.18 18:25;07.06.18 18:35;Athens;SWISS;LX1823;ARRIVED;;10
07.06.18 18:35;07.06.18 18:36;Zurich;SWISS;LX2810;ARRIVED;;1
07.06.18 18:40;07.06.18 19:20;Amsterdam;KLM ROYAL DUTCH AIRLINES;KL1933;ARRIVED;;40
07.06.18 18:45;;Frankfurt;LUFTHANSA;LH1226;CANCELLED;;
07.06.18 18:50;07.06.18 19:17;Amsterdam;EASYJET;EZS1356;ARRIVED;;27
07.06.18 18:55;07.06.18 19:10;Warsaw;LOT POLISH AIRLINES;LO415;ARRIVED;;15
07.06.18 19:05;07.06.18 19:03;Paris ORY;EASYJET;EZS1394;ARRIVED;;-2
07.06.18 19:05;07.06.18 19:24;Lille;EASYJET;EZS1472;ARRIVED;;19
07.06.18 19:20;07.06.18 19:28;Porto;TAP PORTUGAL;TP942;ARRIVED;;8
07.06.18 19:20;07.06.18 19:31;Vienna;AUSTRIAN;OS575;ARRIVED;;11
07.06.18 19:35;07.06.18 19:50;London LGW;EASYJET;EZS8478;ARRIVED;;15
07.06.18 19:35;07.06.18 19:56;Munich;LUFTHANSA;LH2388;ARRIVED;;21
07.06.18 19:35;07.06.18 20:05;Copenhagen;SAS SCANDINAVIAN AIRLINES;SK617;ARRIVED;;30
07.06.18 19:40;;Dusseldorf;EUROWINGS;EW9748;CANCELLED;;
07.06.18 19:40;07.06.18 20:31;Paris CDG;AIR FRANCE;AF1042;ARRIVED;;51
07.06.18 19:50;07.06.18 19:35;Dubai;EMIRATES;EK083;ARRIVED;;-15
07.06.18 19:55;07.06.18 20:10;London LHR;SWISS;LX349;ARRIVED;;15
07.06.18 20:15;07.06.18 20:26;London LCY;BRITISH AIRWAYS;BA2287;ARRIVED;;11
07.06.18 20:20;07.06.18 21:05;Bordeaux;EASYJET;EZY1372;ARRIVED;;45
07.06.18 20:20;07.06.18 21:22;Berlin SXF;EASYJET;EZY1596;ARRIVED;;62
07.06.18 20:25;07.06.18 20:38;London LHR;BRITISH AIRWAYS;BA736;ARRIVED;;13
07.06.18 20:35;07.06.18 20:36;Brussels;BRUSSELS AIRLINES;SN2723;ARRIVED;;1
07.06.18 20:35;07.06.18 21:00;Lisbon;EASYJET;EZY1448;ARRIVED;;25
07.06.18 20:35;07.06.18 21:34;Copenhagen;EASYJET;EZS1470;ARRIVED;;59
